iter	Passed	Remaining
0	94	94737
1	157	78533
2	213	71085
3	307	76668
4	385	76751
5	466	77255
6	529	75143
7	619	76871
8	697	76768
9	792	78463
10	874	78638
11	983	80985
12	1148	87178
13	1268	89332
14	1377	90450
15	1492	91818
16	1587	91773
17	1698	92680
18	1776	91731
19	1848	90559
20	2052	95678
21	2178	96855
22	2264	96180
23	2327	94653
24	2413	94144
25	2498	93615
26	2600	93730
27	2693	93514
28	2777	93014
29	2876	93015
30	2936	91792
31	3023	91459
32	3111	91166
33	3232	91836
34	3392	93525
35	3535	94668
36	3641	94786
37	3703	93749
38	3800	93648
39	4128	99095
40	4233	99014
41	4395	100251
42	4503	100237
43	4666	101401
44	4743	100658
45	4886	101339
46	5026	101910
47	5113	101424
48	5189	100723
49	5313	100955
50	5424	100935
51	5548	101155
52	5626	100532
53	5754	100805
54	5837	100300
55	5937	100097
56	6050	100095
57	6172	100252
58	6304	100559
59	6371	99822
60	6433	99026
61	6499	98331
62	6572	97760
63	6643	97158
64	6703	96433
65	6774	95868
66	6854	95446
67	6920	94852
68	6992	94350
69	7063	93839
70	7137	93384
71	7191	92687
72	7278	92425
73	7347	91946
74	7423	91554
75	7466	90779
76	7538	90361
77	7584	89648
78	7662	89327
79	7736	88973
80	7781	88291
81	7861	88008
82	7937	87692
83	8010	87353
84	8075	86926
85	8161	86737
86	8209	86148
87	8275	85759
88	8346	85434
89	8410	85041
90	8466	84574
91	8528	84177
92	8582	83704
93	8682	83686
94	8843	84249
95	8948	84267
96	9021	83983
97	9113	83876
98	9165	83417
99	9231	83079
100	9352	83242
101	9431	83032
102	9514	82856
103	9598	82699
104	9665	82390
105	9740	82149
106	9818	81939
107	9863	81465
108	9929	81169
109	9998	80895
110	10069	80645
111	10144	80432
112	10221	80233
113	10300	80055
114	10391	79969
115	10461	79721
116	10528	79456
117	10587	79140
118	10677	79052
119	10772	79000
120	10834	78705
121	10908	78502
122	10977	78271
123	11045	78033
124	11135	77946
125	11190	77624
126	11230	77201
127	11304	77014
128	11355	76671
129	11423	76450
130	11500	76287
131	11560	76017
132	11644	75907
133	11754	75962
134	11875	76091
135	12022	76378
136	12090	76160
137	12173	76039
138	12264	75972
139	12316	75657
140	12386	75458
141	12467	75331
142	12560	75273
143	12612	74975
144	12683	74787
145	12766	74675
146	12845	74537
147	12898	74255
148	12964	74045
149	13032	73851
150	13096	73636
151	13171	73485
152	13248	73341
153	13316	73154
154	13425	73189
155	13556	73343
156	13624	73154
157	13683	72922
158	13749	72726
159	13793	72418
160	13846	72157
161	13932	72071
162	13997	71876
163	14075	71750
164	14148	71598
165	14203	71357
166	14252	71092
167	14321	70925
168	14395	70786
169	14444	70522
170	14529	70438
171	14618	70372
172	14674	70150
173	14743	69987
174	14819	69865
175	14903	69777
176	14990	69703
177	15106	69761
178	15147	69475
179	15217	69321
180	15290	69186
181	15348	68983
182	15405	68776
183	15471	68613
184	15547	68492
185	15659	68532
186	15777	68595
187	15877	68577
188	15960	68488
189	16033	68355
190	16154	68422
191	16391	68982
192	16517	69066
193	16566	68828
194	16640	68694
195	16695	68487
196	16784	68414
197	16858	68286
198	16940	68188
199	16994	67979
200	17088	67927
201	17162	67801
202	17230	67649
203	17310	67543
204	17376	67386
205	17490	67414
206	17842	68351
207	17972	68435
208	18159	68727
209	18296	68830
210	18391	68770
211	18470	68654
212	18639	68869
213	18720	68757
214	18791	68612
215	18887	68553
216	18992	68531
217	19085	68462
218	19175	68383
219	19260	68285
220	19335	68155
221	19404	68004
222	19456	67791
223	19535	67675
224	19597	67502
225	19667	67355
226	19733	67196
227	19801	67047
228	19876	66918
229	19946	66778
230	20050	66748
231	20103	66550
232	20240	66629
233	20299	66450
234	20366	66299
235	20435	66154
236	20496	65985
237	20583	65902
238	20652	65760
239	20812	65905
240	20908	65847
241	20992	65753
242	21055	65592
243	21129	65467
244	21260	65517
245	21312	65325
246	21396	65229
247	21477	65124
248	21562	65035
249	21635	64907
250	21699	64753
251	21758	64583
252	21832	64461
253	21915	64367
254	22007	64297
255	22060	64114
256	22137	64000
257	22212	63882
258	22280	63744
259	22349	63610
260	22414	63463
261	22510	63406
262	22600	63333
263	22650	63146
264	22799	63236
265	22905	63205
266	22980	63088
267	23076	63029
268	23187	63010
269	23303	63006
270	23428	63023
271	23507	62918
272	23662	63014
273	23753	62938
274	23861	62907
275	23913	62728
276	24049	62771
277	24161	62750
278	24256	62685
279	24342	62595
280	24436	62525
281	24507	62398
282	24572	62256
283	24649	62143
284	24715	62005
285	24778	61859
286	24815	61648
287	24872	61491
288	24933	61342
289	25002	61212
290	25068	61078
291	25126	60923
292	25193	60790
293	25260	60659
294	25318	60507
295	25414	60446
296	25505	60370
297	25575	60248
298	25646	60127
299	25708	59986
300	25751	59802
301	25823	59684
302	25904	59589
303	26002	59531
304	26074	59415
305	26153	59315
306	26215	59176
307	26300	59090
308	26365	589529309	26417	5880297	36717	86496
298	36818	86321
299	36925	86158
300	37034	86004
301	37123	85802
302	37242	85670
303	37378	85577
304	37475	85393
305	37613	85306
306	37713	85131
307	37823	84980
308	37924	84808
309	38010	84603
310	38126	84466
311	38224	84290
312	38327	84124
313	38401	83897
314	38499	83720
315	38602	83557
316	38713	83411
317	38821	83258
318	38920	83086
319	39020	82917
320	39135	82781
321	39265	82676
322	39361	82499
323	39473	82358
324	39575	82194
325	39663	82003
326	39781	81873
327	39871	81687
328	39983	81546
329	40071	81356
330	40211	81273
331	40308	81101
332	40411	80944
333	40509	80775
334	40613	80621
335	40731	80493
336	40837	80341
337	40949	80202
338	41045	80032
339	41178	79933
340	41276	79768
341	41412	79677
342	41514	79519
343	41614	79358
3
357	29798	53437
358	29869	53332
359	29929	53208
360	29995	53094
361	30088	53029
362	30159	52925
363	30237	52832
364	30297	52708
365	30386	52635
366	30433	52491
367	30512	52402
368	30595	52318
369	30664	52211
370	30757	52146
371	30850	52080
372	30962	52047
373	31069	52003
374	31131	51885
375	31200	51779
376	31263	51664
377	31345	51578
378	31410	51466
1	34825	56340
382	34899	56222
383	34975	56106
384	35045	55981
385	35111	55851
386	35170	55709
387	35238	55582
388	35302	55449
389	35410	55386
390	35501	55295
391	35568	55167
392	35625	55025
393	35688	54891
394	35820	54863
395	35914	54778
396	35998	54677
397	36098	54601
398	36193	54516
399	36266	54400
400	36337	54279
401	36411	54163
402	36498	54069
403	36625	54031
404	36710	53932
405	36782	53814
406	36911	53779
407	37145	53896
408	37259	53838
409	37342	53736
410	37352	53529
411	37468	53475
412	37590	53427
413	37668	53317
414	37756	53222
415	37884	53184
416	37962	53073
417	38051	52981
418	38106	52839
419	38198	52749
420	38578	53057
421	38780	53116
422	39001	53200
423	39092	53106
424	39280	53144
425	39374	53054
426	39511	53021
427	39622	52952
428	39714	52860
429	39881	52865
430	39956	52750
431	40044	52651
432	40137	52559
433	40148	52359
434	40224	52245
435	40341	52184
436	40462	52128
437	40544	52023
438	40630	51921
439	40741	51853
440	40845	51774
441	40927	51668
442	41016	51571
443	41104	51472
444	41182	51361
445	41252	51242
446	41375	51186
447	41492	51124
448	41608	51060
449	41739	51015
450	41832	50921
451	41902	50801
452	42005	50722
453	42104	50636
454	42203	50551
455	42271	50428
456	42348	50318
457	42423	50204
458	42502	50095
459	42579	49985
460	42664	49883
461	42752	49785
462	42836	49682
463	42851	49500
464	42907	49366
465	43010	49286
466	43080	49168
467	43190	49097
468	43257	48975
469	43348	48882
470	43473	48827
471	43636	48813
472	43713	48704
473	43778	48580
474	43862	48479
475	43970	48404
476	44043	48290
477	44217	48288
478	44359	48248
479	44466	48171
480	44595	48118
481	44696	48034
482	44795	47949
483	44881	47848
484	44978	47760
485	45056	47652
486	45170	47581
487	45263	47489
488	45349	47390
489	45423	47277
490	45487	47154
491	45576	47058
492	45646	46942
493	45723	46834
494	45811	46736
495	45911	46652
496	45989	46544
497	46074	46444
498	46137	46322
499	46222	46222
500	46281	46096
501	46377	46008
502	46463	45908
503	46545	45806
504	46643	45719
505	46714	45607
506	46802	45509
507	46863	45387
508	46957	45296
509	47049	45204
510	47135	45106
511	47211	44998
512	47286	44889
513	47353	44774
514	47425	44662
515	47534	44587
516	47607	44476
517	47686	44372
518	47740	44244
519	47845	44164
520	47967	44100
521	48038	43988
522	48107	43875
523	48182	43769
524	48261	43665
525	48336	43557
526	48394	43435
527	48465	43325
528	48555	43231
529	48608	43105
530	48679	42996
531	48753	42888
532	48832	42785
533	48893	42667
534	48986	42577
535	49069	42478
536	49150	42377
537	49230	42275
538	49300	42166
539	49364	42051
540	49442	41948
541	49513	41840
542	49615	41757
543	49671	41636
544	49770	41551
545	49838	41440
546	49910	41333
547	49972	41217
548	50048	41114
549	50121	41008
550	50212	40917
551	50278	40805
552	50382	40725
553	50442	40608
554	50520	40507
555	50611	40416
556	50685	40312
557	50769	40215
558	50854	40119
559	50926	40013
560	51005	39913
561	51090	39818
562	51164	39714
563	51255	39623
564	51349	39534
565	51407	39418
566	51462	39300
567	51561	39215
568	51650	39123
569	51755	39043
570	51830	38941
571	51918	38847
572	52006	38755
573	52085	38655
71	64607	48342
572	64741	48245
573	64904	48169
574	65031	48066
575	65130	47943
576	65223	47815
577	65355	47716
578	65525	47644
579	65657	47545
580	65814	47463
581	65924	47347
582	66019	47221
583	66145	47117
584	66259	47004
585	66352	46876
586	66459	46759
587	66579	46650
588	66669	46521
589	66764	46395
590	66884	46287
591	66991	46169
592	67106	46057
593	67209	45937
594	67313	45818
595	67468	45733
596	67572	45614
597	67719	45523
598	67828	45407
599	67939	45292
600	68100	45211
601	68274	45138
602	68372	45014
603	68524	44926
604	68683	44843
605	68821	44745
606	68944	44637
607	69041	44513
608	69173	44412
609	69252	44276
610	69377	44170
611	69488	44055
612	69573	43923
613	69681	43806
614	69797	43694
615	69891	43568
616	70025	43468
617	70149	43360
618	70242	43234
619	70368	43129
620	70453	42998
621	70570	42886
622	70669	42764
623	70773	42645
624	70889	42533
625	70975	42403
626	71063	42275
627	71159	42152
628	71277	42041
629	71381	41922
630	71493	41808
631	71592	41686
632	71713	41578
633	71846	41475
634	71942	41352
635	72050	41236
636	72154	41117
637	72262	41001
638	72364	40882
639	72489	40775
640	72606	40664
641	72711	40546
642	72794	40416
643	72903	40300
644	73014	40186
645	73137	40078
646	73227	39952
647	73355	39847
648	73449	39723
649	73528	39592
650	73632	39474
651	73722	39348
652	73827	39231
653	73927	39111
654	74025	38990
655	74116	38866
656	74233	38754
657	74265	38600
658	74369	38482
659	74464	38360
660	74573	38245
661	74689	38134
662	74802	38021
663	74920	37911
664	75020	37792
665	75136	37681
666	75274	37580
667	75374	37461
668	75450	37330
669	75541	37206
670	75672	37103
671	75801	36998
672	75904	36880
673	76017	36768
